Player_ID,Player,Team,TSpct,eFGpct,TotalSpct,ORBpct,DRBpct,TRBpct,ASTpct,TOVpct,STLpct,BLKpct,USGpct,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Type
1341,Tyson Wheeler,DEN,1.064,1.500,250.0,-,-,-,200.0,-,-,-,28.5,45.4,4.0,-,123.3,-,4.0,81.0,Career Advanced
49472,Ian Lockhart,PHX,1.064,1.000,200.0,-,-,-,-,-,-,-,38.0,-,4.0,234.7,101.9,132.8,2.5,72.9,Career Advanced
894,Steven Hill,OKC,1.000,1.000,100.0,77.4,40.3,59.2,-,-,-,-,17.0,-,2.0,204.2,105.0,99.1,4.0,68.6,Career Advanced
67033,Dave Scholz,PHI,1.000,1.000,100.0,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,67.2,Career Advanced
32628,Chad Gallagher,UTA,1.000,1.000,100.0,-,-,-,-,-,-,-,43.6,-,2.0,200.0,123.4,76.6,2.8,63.8,Career Advanced
33384,Cedric Lewis,WAS,.667,.667,66.7,51.1,-,27.7,-,-,12.6,-,32.6,-,1.3,138.7,98.8,39.8,4.8,62.4,Career Advanced
51351,Cozell McQueen,DET,1.000,1.000,100.0,49.8,67.2,59.4,-,-,-,7.5,16.7,-,2.0,199.6,78.5,121.1,11.0,57.0,Career Advanced
24708,Sim Bhullar,SAC,.500,.500,50.0,-,40.0,20.6,92.0,-,-,29.3,34.0,25.0,1.0,125.7,93.8,31.9,3.2,53.5,Career Advanced
66846,Bill Stricker,POR,.667,.667,66.7,-,-,-,-,-,-,-,-,-,1.3,-,-,-,-,45.1,Career Advanced
99942,Frank Reddout,SAC,.838,.833,158.3,-,-,-,-,-,-,-,-,-,2.2,-,-,-,-,41.0,Career Advanced
57096,Vince Hunter,MEM,.600,.600,60.0,33.0,18.8,26.4,-,16.7,-,14.8,40.5,-15.8,1.2,81.0,108.8,-27.8,5.0,41.0,Career Advanced
81683,Trevon Duval,MIL,.833,.833,166.7,-,15.9,8.3,66.7,-,-,-,21.6,22.0,1.7,177.8,107.0,70.8,5.5,38.5,Career Advanced
88764,Shamorie Ponds,TOR,.765,.700,210.0,-,8.8,4.5,29.4,-,-,8.5,22.6,12.0,1.8,165.4,103.1,62.3,7.2,32.9,Career Advanced
82568,Max Strus *,CHI,.727,.667,166.7,15.8,-,8.8,-,-,-,-,24.2,-,1.7,153.4,120.2,33.2,2.9,32.8,Career Advanced
1804,Trey Gilder,MEM,1.000,1.000,100.0,-,22.9,11.1,-,-,10.2,-,8.7,-,2.0,200.0,95.7,104.3,3.0,32.2,Career Advanced
9375,Jordan Sibert,ATL,1.500,1.500,200.0,-,-,-,-,-,-,-,9.9,-,3.0,300.0,117.6,182.4,2.2,32.1,Career Advanced
5506,Tony Mitchell,MIL,.600,.600,60.0,12.8,-,6.3,21.2,-,5.3,-,23.2,7.0,1.2,134.3,119.9,14.4,5.2,31.5,Career Advanced
58524,Troy Caupain,ORL,.625,.625,116.7,6.8,14.5,10.5,38.7,-,3.1,-,22.6,17.5,1.2,145.4,103.4,42.0,11.5,31.1,Career Advanced
65175,John McCullough,PHX,.691,.692,129.2,4.9,14.1,9.6,26.4,16.5,4.2,-,32.6,-4.4,1.6,114.6,98.8,15.8,13.1,30.9,Career Advanced
1441,Kelly McCarty,DEN,.667,.667,66.7,53.3,27.0,40.2,-,40.0,-,-,52.9,-46.7,1.3,77.1,113.4,-36.4,2.5,30.7,Career Advanced
100414,Jerry Fleishman,-,.337,.278,91.2,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,30.4,Career Advanced
1340,Korleone Young,DET,.597,.550,175.0,15.2,17.6,16.3,20.4,8.4,-,-,37.2,-2.2,1.3,114.4,107.3,7.1,6.8,30.4,Career Advanced
69578,Dave Gunther,GSW,.500,.500,50.0,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,29.7,Career Advanced
65977,Bob Pettit,ATL,.511,.436,119.7,-,-,-,11.7,-,-,-,-,-,1.2,-,-,-,-,29.2,Career Advanced
83961,Tacko Fall *,BOS,.751,.786,111.9,3.3,42.9,24.0,5.8,16.4,1.5,10.9,23.7,-7.1,1.6,116.0,87.7,28.3,22.4,28.2,Career Advanced
1192,Michael Jordan,CHI,.569,.509,165.9,4.7,14.0,9.4,25.0,9.3,3.1,1.4,33.3,2.1,1.3,118.0,103.4,14.6,17735.5,27.9,Career Advanced
250,LeBron James *,-,.586,.542,158.2,3.7,18.5,11.2,36.2,13.2,2.1,1.6,31.5,3.8,1.4,116.1,103.9,12.1,26036.8,27.4,Career Advanced
13305,Anthony Davis *,-,.588,.529,163.6,8.2,25.1,16.6,11.4,8.7,2.0,5.7,28.5,-1.3,1.4,117.5,102.7,14.8,10394.4,27.3,Career Advanced
85130,Devontae Cacok *,LAL,.500,.500,50.0,21.3,39.0,29.3,16.7,-,-,-,26.3,7.1,1.0,125.4,129.4,-4.0,6.8,27.1,Career Advanced
65978,Elgin Baylor,LAL,.494,.431,121.1,-,-,-,16.0,-,-,-,-,-,1.1,-,-,-,-,26.6,Career Advanced
755,Shaquille O'Neal,LAL,.586,.582,115.5,11.8,23.5,17.8,13.5,11.9,0.9,4.6,29.5,-3.0,1.5,113.1,101.9,11.2,21773.5,26.3,Career Advanced
2413,Boban Marjanovic *,-,.637,.585,164.8,15.8,29.4,22.6,9.2,12.8,1.1,3.0,25.0,-3.6,1.6,123.4,104.5,18.8,1305.1,26.3,Career Advanced
42336,Coty Clarke,BOS,.750,.750,150.0,-,19.5,9.0,-,20.0,-,-,35.6,-16.6,1.5,101.4,119.8,-18.4,2.8,26.2,Career Advanced
1234,David Robinson,SAS,.583,.519,150.4,10.6,23.4,17.3,12.4,11.9,2.1,5.7,26.4,-2.3,1.5,116.1,95.8,20.3,18639.9,26.1,Career Advanced
66206,Clyde Lovellette,-,.491,.443,120.1,-,-,-,-,-,-,-,-,-,1.1,-,-,-,-,26.1,Career Advanced
