Player_ID,Player,Team,DblDbl,TplDbl,FortyPts,TwentyReb,TwentyAst,FiveStl,FiveBlk,HighGame,Techs,HOB,AstTO,StlTO,FTFGA,Ws,Ls,WinPct,OWS,DWS,WS,Type
4629,Kareem Abdul-Jabbar,-,69,0,70,0,0,0,9,55,0,.287,1.2,0.3,0.3,1074,486,.688,178.6,94.0,272.4,Career Misc
250,LeBron James *,-,489,94,65,0,0,36,2,61,65,.452,2.1,0.5,0.4,839,426,.663,163.8,69.1,232.8,Career Misc
65950,Wilt Chamberlain,-,0,0,271,0,0,0,0,100,0,.334,0.0,0.0,0.5,672,373,.643,143.8,88.5,232.1,Career Misc
750,Karl Malone,UTA,814,4,44,12,0,29,5,61,19,.329,1.2,0.5,0.5,952,524,.645,138.8,89.6,228.5,Career Misc
1192,Michael Jordan,CHI,200,28,173,0,0,99,5,69,2,.408,1.9,0.9,0.4,706,366,.659,148.1,63.3,211.3,Career Misc
1237,John Stockton,UTA,714,0,0,0,34,136,0,34,1,.390,3.7,0.8,0.4,953,551,.634,141.0,62.2,203.2,Career Misc
272,Tim Duncan,SAS,841,4,5,26,0,3,124,53,55,.281,1.2,0.3,0.4,1001,391,.719,97.6,104.9,202.5,Career Misc
308,Dirk Nowitzki,DAL,411,2,20,7,0,4,11,53,113,.256,1.5,0.5,0.3,916,606,.602,138.9,60.5,199.4,Career Misc
65962,Oscar Robertson,-,1,0,77,0,0,0,0,56,0,.524,0.0,0.0,0.5,627,413,.603,151.9,37.2,189.1,Career Misc
644,Kevin Garnett,MIN,742,16,4,36,0,16,40,47,119,.294,1.7,0.6,0.3,825,637,.564,94.9,93.1,188.0,Career Misc
61,Chris Paul *,-,446,15,8,0,4,82,0,43,113,.419,3.9,0.9,0.3,649,371,.636,132.3,47.9,180.2,Career Misc
755,Shaquille O'Neal,LAL,727,2,49,35,0,3,132,61,57,.306,0.9,0.2,0.6,819,388,.679,114.0,64.8,178.8,Career Misc
1234,David Robinson,SAS,544,14,22,14,0,17,213,71,3,.261,1.0,0.6,0.6,673,314,.682,99.0,79.3,178.3,Career Misc
1259,Charles Barkley,PHI,710,20,21,55,0,39,8,47,0,.294,1.3,0.5,0.6,658,415,.613,123.5,53.7,177.2,Career Misc
740,Reggie Miller,IND,12,1,9,0,0,9,0,57,13,.237,1.7,0.6,0.4,767,622,.552,139.6,31.5,171.2,Career Misc
613,Kobe Bryant,LAL,176,21,122,0,0,35,3,81,125,.355,1.6,0.5,0.4,836,510,.621,122.0,48.2,170.2,Career Misc
